"","url","id","age","comments","enjoyment","education","language","gender","os","screenW","screenH","browser","botSentence","nFails","condition","totalRT","delayBlue","delayPink","delayOrange","goal","goalClean","intention1","intention2","knowledge","goalRT","goalCleanRT","intention1RT","intention2RT","knowledgeRT","causeRT","delayRT","attention1RT","attention2RT","goalOrder","goalCleanOrder","intention1Order","intention2Order","knowledgeOrder","attention1","attentionBlue","attentionPink","attentionOrange","causeBlue","causePink","causeOrange","causeB&P","causeP&O","causeB&O","causeAll","causeOther","causeBlue_norm","causePink_norm","causeOrange_norm","causeB&P_norm","causeP&O_norm","causeB&O_norm","causeAll_norm","causeOther_norm","min","flat","max","atomic","atomic_norm","two_conjunct","two_conjunct_norm"
"1","https://pcl-study1mod.github.io/?PROLIFIC_PID=602bcd3674645238839fa00b&STUDY_ID=606d9200d8d0edde519cf63b&SESSION_ID=606da07f201b5dae6d220bde","602bcd3674645238839fa00b",20,NA,2,0,"polish","Male","Windows",1920,1080,"Chrome","William says to Susan: It's a beautiful day, isn't it?",0,"condition 1",4.16316666666666,"10.0","5.0","0.0",9,5,9,8,9,2.78,3.609,8.105,3.893,4.197,30.076,35.969,30.421,23.191,4,2,1,3,5,2,1,1,0,1,6,1,9,1,1,5,5,0,0.238095238095238,0,0.380952380952381,0,0,0.19047619047619,0.19047619047619,1,FALSE,2.625,2.66666666666667,0.0793650793650794,3.66666666666667,0.126984126984127
"2","https://pcl-study1mod.github.io/?PROLIFIC_PID=5ffccd13b2325f1b284dd5f6&STUDY_ID=606d9200d8d0edde519cf63b&SESSION_ID=606da0cfdc3f57f80db07707","5ffccd13b2325f1b284dd5f6",28,NA,2,2,"English","Female","Windows",1280,720,"Chrome","William says to Sarah: It's a beautiful day, isn't it?",0,"condition 2",3.0736,"10.0","10.0","1.0",9,4,9,9,8,2.261,3.613,12.084,2.946,3.985,34.69,14.766,8.535,6.358,3,4,1,2,5,2,1,1,1,1,1,1,4,4,4,9,1,0,0,0,0.176470588235294,0.176470588235294,0.176470588235294,0.470588235294118,0,1,FALSE,2.125,1,0,4,0.176470588235294
"3","https://pcl-study1mod.github.io/?PROLIFIC_PID=5e5d06c0b935b4000cb2a28d&STUDY_ID=606d9200d8d0edde519cf63b&SESSION_ID=606da08c16788782c898d790","5e5d06c0b935b4000cb2a28d",18,NA,2,1,"Italian and English","Male","Windows",1280,854,"Chrome","Charles says to Susan: It's a beautiful day, isn't it?",0,"condition 1",5.06796666666666,"15.0","7.0","0.0",2,1,5,7,8,9.345,6.368,5.387,4.411,19.805,62.46,52.737,10.186,9.89,4,2,5,3,1,2,1,1,0,1,1,1,8,1,1,6,5,0,0,0,0.4375,0,0,0.3125,0.25,1,FALSE,2,1,0,3.33333333333333,0.145833333333333
"4","https://pcl-study1mod.github.io/?PROLIFIC_PID=5ea2dc80c30a77212dcb8b00&STUDY_ID=606d9200d8d0edde519cf63b&SESSION_ID=606da09dcf9ef82dd088239d","5ea2dc80c30a77212dcb8b00",55,NA,1,1,"english","Female","Windows",1280,720,"Chrome","John says to Jennifer: It's a beautiful day, isn't it?",0,"condition 1",5.30888333333333,"9.0","1.0","0.0",5,2,5,3,5,3.993,5.4,3.806,5.659,10.85,53.943,56.787,15.873,13.069,4,5,3,2,1,2,1,1,0,1,7,1,7,1,1,1,7,0,0.333333333333333,0,0.333333333333333,0,0,0,0.333333333333333,1,FALSE,2.25,3,0.111111111111111,3,0.111111111111111
"5","https://pcl-study1mod.github.io/?PROLIFIC_PID=5cd168e9f651de0015a062d2&STUDY_ID=606d9200d8d0edde519cf63b&SESSION_ID=606da11176e61fbd4d15ad83","5cd168e9f651de0015a062d2",22,NA,1,3,"Galician, Spanish","Female","Windows",1366,768,"Chrome","David says to Jennifer: It's a beautiful day, isn't it?",0,"condition 1",3.97478333333333,"40.0","1.0","1.0",4,1,4,5,4,2.846,13.809,4.656,4.196,4.142,24.75,51.88,23.661,11.066,4,1,5,3,2,2,1,1,0,1,1,1,9,1,1,1,1,0,0,0,1,0,0,0,0,1,FALSE,1,1,0,3.66666666666667,0.333333333333333
"6","https://pcl-study1mod.github.io/?PROLIFIC_PID=5ea946ce5161e202144d743e&STUDY_ID=606d9200d8d0edde519cf63b&SESSION_ID=606da0b1009affd635a9d322","5ea946ce5161e202144d743e",20,NA,1,0,"German","Male","Windows",1920,1080,"Chrome","Thomas says to Margaret: It's a beautiful day, isn't it?",0,"condition 2",6.02848333333333,"10.0","2.0","20.0",4,5,5,4,5,5.767,16.979,11.081,7.305,3.421,83.328,26.093,23.79,17.462,5,1,2,4,3,2,1,1,1,1,7,1,6,6,1,5,5,0,0.25,0,0.208333333333333,0.208333333333333,0,0.166666666666667,0.166666666666667,1,FALSE,3,3,0.0833333333333333,4.33333333333333,0.138888888888889
"7","https://pcl-study1mod.github.io/?PROLIFIC_PID=5ebf053f5d40e22e580bc15b&STUDY_ID=606d9200d8d0edde519cf63b&SESSION_ID=606da0fd8fb9740a09b6baa7","5ebf053f5d40e22e580bc15b",28,NA,1,4,"Italian","Female","Linux",1366,768,"Chrome","William says to Susan: It's a beautiful day, isn't it?",1,"condition 2",4.89628333333333,"30.0","5.0","20.0",9,3,5,5,5,5.367,4.868,2.579,12.596,3.4,28.745,21.326,7.508,9.511,5,4,3,1,2,2,1,1,1,5,6,5,6,6,5,6,5,0,0.25,0,0.25,0.25,0,0.25,0,5,FALSE,1,5.33333333333333,0.0833333333333333,5.66666666666667,0.166666666666667
"8","https://pcl-study1mod.github.io/?PROLIFIC_PID=5e0e059aac9e1656637773d1&STUDY_ID=606d9200d8d0edde519cf63b&SESSION_ID=606da163febfdbf07647f494","5e0e059aac9e1656637773d1",22,NA,1,3,"Hungarian","Male","Windows",1536,864,"Firefox","Michael says to Elizabeth: It's a beautiful day, isn't it?",0,"condition 1",3.99701666666666,"4.0","1.0","0.0",7,1,6,6,4,3.753,4.601,27.396,5.152,5.099,38.726,19.847,22.051,13.179,3,4,1,2,5,2,0,0,0,4,8,1,8,1,1,1,1,0.176470588235294,0.411764705882353,0,0.411764705882353,0,0,0,0,1,FALSE,2.125,4.33333333333333,0.196078431372549,3.33333333333333,0.137254901960784
"9","https://pcl-study1mod.github.io/?PROLIFIC_PID=5e8bb1446a80c60905c99673&STUDY_ID=606d9200d8d0edde519cf63b&SESSION_ID=606da105da807c8a10418a02","5e8bb1446a80c60905c99673",24,NA,2,3,"french","Hide","Windows",1920,1080,"Chrome","Michael says to Jennifer: It's a beautiful day, isn't it?",0,"condition 2",5.557,"12.0","3.0","7.0",7,1,8,5,4,6.479,8.039,9.989,15.295,8.416,43.498,37.263,13.008,18.973,2,5,1,4,3,2,1,1,1,1,8,1,7,7,1,8,8,0,0.212121212121212,0,0.181818181818182,0.181818181818182,0,0.212121212121212,0.212121212121212,1,FALSE,4.125,3.33333333333333,0.0707070707070707,5,0.121212121212121
"10","https://pcl-study1mod.github.io/?PROLIFIC_PID=5d78f933910efb0001b6425a&STUDY_ID=606d9200d8d0edde519cf63b&SESSION_ID=606da1ed5330e0e728109a06","5d78f933910efb0001b6425a",40,"I thought the yellow box did not light up at all!",1,4,"Dutch","Female","Mac",1440,900,"Chrome","Thomas says to Linda: It's a beautiful day, isn't it?",0,"condition 1",3.21795,"10.0","2.0","0.0",2,1,2,5,3,3.959,3.498,5.735,5.938,11.979,25.073,19.312,14.6,5.195,3,4,2,5,1,2,1,1,0,1,5,1,8,1,1,1,4,0,0.285714285714286,0,0.5,0,0,0,0.214285714285714,1,FALSE,1.75,2.33333333333333,0.0952380952380952,3.33333333333333,0.166666666666667
