"","url","id","age","comments","enjoyment","education","language","color","gender","os","screenW","screenH","browser","botSentence","nFails","condition","totalRT","goal","goalClean","intention1","intention2","knowledge","goalB","goalCleanB","intention1B","intention2B","knowledgeB","goalRT","goalCleanRT","intention1RT","intention2RT","knowledgeRT","goalBRT","goalCleanBRT","intention1BRT","intention2BRT","knowledgeBRT","causeRT","attention1RT","attention2RT","attention2BRT","goalOrder","goalCleanOrder","intention1Order","intention2Order","knowledgeOrder","attention1","attentionBlue","attentionPink","attentionOrange","attentionBlueB","attentionPinkB","attentionOrangeB","causeBlue","causePink","causeOrange","causeB&P","causeP&O","causeB&O","causeAll","causeOther","causeBlue_norm","causePink_norm","causeOrange_norm","causeB&P_norm","causeP&O_norm","causeB&O_norm","causeAll_norm","causeOther_norm","min","flat","max"
"1","https://pcl-study2.github.io/?PROLIFIC_PID=5d42a10951bca600155fe28e&STUDY_ID=606d979d6c31dc814af432dc&SESSION_ID=606db3e0d77f7452b16845c7","5d42a10951bca600155fe28e",25,NA,2,5,"Dutch",1,"Male","Windows",3072,1728,"Firefox","Michael says to Linda: It's a beautiful day, isn't it?",0,"condition 2",4.6172,5,3,4,4,1,1,2,3,1,2,11.436,3.704,7.741,5.924,2.769,2.941,3.284,6.634,2.669,2.868,44.743,28.005,16,6.929,1,4,2,3,5,2,0,1,0,0,1,0,1,6,1,7,3,1,1,2,0,0.357142857142857,0,0.428571428571429,0.142857142857143,0,0,0.0714285714285714,1,FALSE,1.75
"2","https://pcl-study2.github.io/?PROLIFIC_PID=5f05a5aa1c864b03b4b14312&STUDY_ID=606d979d6c31dc814af432dc&SESSION_ID=606db4ae37a45d1b03d4c0e8","5f05a5aa1c864b03b4b14312",26,NA,1,4,"dutch",1,"Female","Windows",1280,720,"Chrome","William says to Sarah: It's a beautiful day, isn't it?",0,"condition 2",3.49343333333333,7,4,4,4,6,7,5,8,7,8,2.272,3.24,9.581,5.728,3.592,2.164,3.591,3.67,2.283,2.408,28.911,8.927,6.551,3.478,3,4,1,2,5,2,1,1,0,1,1,0,3,8,1,8,1,1,1,5,0.1,0.35,0,0.35,0,0,0,0.2,1,FALSE,2.5
"3","https://pcl-study2.github.io/?PROLIFIC_PID=5ec5be45e89daa61336ff107&STUDY_ID=606d979d6c31dc814af432dc&SESSION_ID=606db4763d7317d4c08776b0","5ec5be45e89daa61336ff107",26,NA,2,4,"Spanish",1,"Male","Windows",1366,768,"Chrome","John says to Patricia: It's a beautiful day, isn't it?",0,"condition 1",5.70196666666666,7,1,5,5,4,6,1,5,5,5,18.706,6.484,11.294,4.949,9.632,4.767,4.099,5.548,3.911,3.898,62.66,13.33,23.332,8.554,1,3,4,5,2,2,1,1,0,0,1,1,1,9,1,7,7,1,1,2,0,0.380952380952381,0,0.285714285714286,0.285714285714286,0,0,0.0476190476190476,1,FALSE,2.625
"4","https://pcl-study2.github.io/?PROLIFIC_PID=5d4beb9aac9aab0001f07c5c&STUDY_ID=606d979d6c31dc814af432dc&SESSION_ID=606db4569fcdfa6c12e5b048","5d4beb9aac9aab0001f07c5c",43,NA,2,4,"English",1,"Male","Windows",1920,1080,"Chrome","Richard says to Linda: It's a beautiful day, isn't it?",0,"condition 2",7.76835,9,3,9,9,9,9,3,9,9,9,3.972,116.136,5.149,4.591,3.82,3.579,4.005,6.357,4.789,3.692,41.153,113.471,10.116,4.862,5,1,3,2,4,2,1,1,0,1,1,0,5,5,1,9,5,5,5,1,0.142857142857143,0.142857142857143,0,0.285714285714286,0.142857142857143,0.142857142857143,0.142857142857143,0,1,FALSE,3.5
"5","https://pcl-study2.github.io/?PROLIFIC_PID=5f31611a22e6b8641dde72bc&STUDY_ID=606d979d6c31dc814af432dc&SESSION_ID=606db50f811c40f385c36090","5f31611a22e6b8641dde72bc",22,NA,2,3,"spanish",1,"Female","Mac",1440,900,"Chrome","Richard says to Jessica: It's a beautiful day, isn't it?",0,"condition 2",4.90971666666666,6,4,9,8,6,6,4,5,6,5,2.814,4.282,6.427,4.852,10.722,2.381,3.964,3.589,2.765,4.607,56.178,12.538,15.447,10.47,5,4,3,2,1,2,1,1,0,1,1,0,3,3,3,7,5,6,8,7,0,0,0,0.222222222222222,0.111111111111111,0.166666666666667,0.277777777777778,0.222222222222222,3,FALSE,3
"6","https://pcl-study2.github.io/?PROLIFIC_PID=5a280910e5bd400001e19ebd&STUDY_ID=606d979d6c31dc814af432dc&SESSION_ID=606db51707c96b97580d3014","5a280910e5bd400001e19ebd",24,NA,2,4,"Portuguese",1,"Female","Windows",1920,1080,"Chrome","Joseph says to Susan: It's a beautiful day, isn't it?",0,"condition 1",5.04416666666666,9,1,7,8,9,8,1,8,9,9,13.756,8.335,9.725,5.696,3.76,3.77,3.316,5.547,4.638,7.485,33.345,27.086,14.504,6.364,1,3,2,4,5,2,1,1,0,0,1,1,1,1,1,9,9,1,1,1,0,0,0,0.5,0.5,0,0,0,1,FALSE,2
"7","https://pcl-study2.github.io/?PROLIFIC_PID=5f7f4a99ddc9cb0b87490fe9&STUDY_ID=606d979d6c31dc814af432dc&SESSION_ID=606db51be51a3801fdf1825a","5f7f4a99ddc9cb0b87490fe9",30,NA,1,4,"Italian",1,"Female","Windows",1536,864,"Chrome","David says to Jennifer: It's a beautiful day, isn't it?",0,"condition 2",5.59755,6,4,6,7,7,6,4,6,6,6,5.964,23.635,3.744,9.535,6.39,3.751,3.295,7.466,3.076,3.162,52.866,15.173,15.213,5.353,4,1,5,2,3,2,1,1,0,1,1,0,5,5,1,9,4,4,5,5,0.133333333333333,0.133333333333333,0,0.266666666666667,0.1,0.1,0.133333333333333,0.133333333333333,1,FALSE,3.75
"8","https://pcl-study2.github.io/?PROLIFIC_PID=5f5c961d1181c548582b6a06&STUDY_ID=606d979d6c31dc814af432dc&SESSION_ID=606db5173d7317d4c08776b8","5f5c961d1181c548582b6a06",20,NA,1,0,"Polish",1,"Male","Windows",1920,1080,"Chrome","Michael says to Barbara: It's a beautiful day, isn't it?",0,"condition 2",5.79766666666666,7,3,6,6,7,7,3,7,6,6,4.01,6.208,31.749,5.899,5.327,2.708,2.311,2.826,2.833,7.95,58.013,37.077,16.336,10.027,5,3,1,2,4,2,1,1,0,1,1,0,5,5,1,9,1,1,1,1,0.25,0.25,0,0.5,0,0,0,0,1,FALSE,2
"9","https://pcl-study2.github.io/?PROLIFIC_PID=5eea814890703f10e73373a6&STUDY_ID=606d979d6c31dc814af432dc&SESSION_ID=606db56aece21fea2535b90a","5eea814890703f10e73373a6",34,NA,2,4,"German",1,"Male","Mac",1440,900,"Firefox","James says to Susan: It's a beautiful day, isn't it?",0,"condition 2",4.67771666666666,9,9,8,8,6,7,9,8,7,6,11.407,4.316,5.113,3.414,4.12,4.882,3.222,4.65,3.266,4.536,35.953,16.839,9.479,9.231,1,4,2,3,5,2,1,1,1,1,1,1,1,7,1,9,4,3,5,1,0,0.260869565217391,0,0.347826086956522,0.130434782608696,0.0869565217391304,0.173913043478261,0,1,FALSE,2.875
"10","https://pcl-study2.github.io/?PROLIFIC_PID=5fd25bb9dbfb410261f1498c&STUDY_ID=606d979d6c31dc814af432dc&SESSION_ID=606db5725f32b73153be3a53","5fd25bb9dbfb410261f1498c",21,NA,1,3,"Portuguese",1,"Male","Windows",1366,768,"Chrome","John says to Sarah: It's a beautiful day, isn't it?",0,"condition 1",4.64545,8,2,5,3,3,8,3,5,5,3,6.415,13.856,4.808,4.077,6.015,3.844,2.638,3.366,2.667,8.008,41.212,8.648,8.524,9.095,4,1,5,3,2,2,1,1,0,0,1,1,3,7,3,5,5,2,1,5,0.0869565217391304,0.260869565217391,0.0869565217391304,0.173913043478261,0.173913043478261,0.0434782608695652,0,0.173913043478261,1,FALSE,2.875
"11","https://pcl-study2.github.io/?PROLIFIC_PID=5dab49d0301492001858123d&STUDY_ID=606d979d6c31dc814af432dc&SESSION_ID=606db490ce0c9b745c31bf26","5dab49d0301492001858123d",46,"Any",1,4,"Polish",1,"Female","Windows",1536,864,"Firefox","Joseph says to Mary: It's a beautiful day, isn't it?",0,"condition 1",7.99,5,5,5,5,5,5,5,5,5,5,3.755,4.701,35.288,4.517,5.329,2.949,2.649,2.097,2.474,2.286,32.029,68.785,46.175,11.907,2,4,1,5,3,3,0,1,0,0,1,0,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,5,TRUE,1
"12","https://pcl-study2.github.io/?PROLIFIC_PID=5ea89875a09cad2e96886d84&STUDY_ID=606d979d6c31dc814af432dc&SESSION_ID=606db56ebe1d0586ba90790e","5ea89875a09cad2e96886d84",24,NA,1,4,"Portuguese",1,"Female","Windows",1536,864,"Chrome","Joseph says to Mary: It's a beautiful day, isn't it?",0,"condition 1",5.6682,8,3,8,8,7,9,3,8,8,8,4.504,6.992,4.976,6.439,14.812,3.143,5.632,2.998,2.576,3.749,54.669,13.515,16.269,13.077,3,4,5,2,1,2,1,1,0,0,1,1,1,1,1,9,1,1,1,1,0,0,0,1,0,0,0,0,1,FALSE,1
