"","id","age","citizenship","ethnicity","year","degree","gender","condition","totalRT","causeRT","causeBlue","causePink","causeOrange","causeB&P","causeP&O","causeB&O","causeAll","causeOther","causeBlue_norm","causePink_norm","causeOrange_norm","causeB&P_norm","causeP&O_norm","causeB&O_norm","causeAll_norm","causeOther_norm","attentionRT","attentionBlue","attentionPink","attentionOrange","order","event","atomic","atomic_norm","two_conjunct","two_conjunct_norm"
"1",1,22,"ct","chinese",2,5,"Female","R2V3",6.322583333,6.883,9,8,9,8,9,8,9,8,0.25,0,0.25,0,0.25,0,0.25,0,NA,NA,NA,NA,0,"P",8.66666666666667,0.166666666666667,8.33333333333333,0.0833333333333333
"2",2,23,"ct","chinese",4,4,"Female","RV23",7.933683333,24.58,3,3,3,7,7,7,8,3,0.0606060606060606,0.0606060606060606,0.0606060606060606,0.181818181818182,0.181818181818182,0.181818181818182,0.212121212121212,0.0606060606060606,NA,NA,NA,NA,0,"P",3,0.0606060606060606,7,0.181818181818182
"3",3,NA,"ct","chinese",3,6,"Female","V23R",21.7108,47.257,9,9,9,9,9,9,9,1,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0,NA,NA,NA,NA,0,"P",9,0.142857142857143,9,0.142857142857143
"4",4,20,"ct","chinese",2,3,"Female","3R2V",7.259166667,24.02,1,1,1,4,4,4,6,7,0,0,0,0.15,0.15,0.15,0.25,0.3,NA,NA,NA,NA,0,"P",1,0,4,0.15
"5",5,22,"ct","chinese",3,3,"Female","R2V3",8.043233333,53.779,1,4,5,2,8,4,6,7,0,0.103448275862069,0.137931034482759,0.0344827586206897,0.241379310344828,0.103448275862069,0.172413793103448,0.206896551724138,NA,NA,NA,NA,0,"P",3.33333333333333,0.0804597701149425,4.66666666666667,0.126436781609195
"6",6,24,"ct","chinese",4,6,"Male","3R2V",7.813433333,23.755,1,1,1,4,4,4,4,6,0,0,0,0.176470588235294,0.176470588235294,0.176470588235294,0.176470588235294,0.294117647058824,NA,NA,NA,NA,0,"P",1,0,4,0.176470588235294
"7",7,22,"ct","chinese",1,3,"Male","3R2V",8.8744,45.662,7,5,5,5,5,5,5,5,0.176470588235294,0.117647058823529,0.117647058823529,0.117647058823529,0.117647058823529,0.117647058823529,0.117647058823529,0.117647058823529,NA,NA,NA,NA,0,"P",5.66666666666667,0.137254901960784,5,0.117647058823529
"8",8,21,"ct","chinese",1,3,"Female","RV23",9.703733333,71.863,4,3,7,3,4,6,6,5,0.1,0.0666666666666667,0.2,0.0666666666666667,0.1,0.166666666666667,0.166666666666667,0.133333333333333,NA,NA,NA,NA,0,"P",4.66666666666667,0.122222222222222,4.33333333333333,0.111111111111111
"9",9,24,"ct","chinese",4,6,"Male","3R2V",11.59553333,27.997,5,5,5,7,7,7,9,5,0.0952380952380952,0.0952380952380952,0.0952380952380952,0.142857142857143,0.142857142857143,0.142857142857143,0.19047619047619,0.0952380952380952,NA,NA,NA,NA,0,"P",5,0.0952380952380952,7,0.142857142857143
"10",10,19,"ct","chinese",1,3,"Female","3RV2",34.83503333,86.221,2,2,2,4,5,5,8,6,0.0384615384615385,0.0384615384615385,0.0384615384615385,0.115384615384615,0.153846153846154,0.153846153846154,0.269230769230769,0.192307692307692,NA,NA,NA,NA,0,"P",2,0.0384615384615385,4.66666666666667,0.141025641025641
