"","id","age","citizenship","ethnicity","year","degree","gender","condition","totalRT","causeRT","causeBlue","causePink","causeOrange","causeB&P","causeP&O","causeB&O","causeAll","causeOther","causeBlue_norm","causePink_norm","causeOrange_norm","causeB&P_norm","causeP&O_norm","causeB&O_norm","causeAll_norm","causeOther_norm","attentionRT","attentionBlue","attentionPink","attentionOrange","intentH","intentB","event","order","atomic","atomic_norm","two_conjunct","two_conjunct_norm"
"1",1,22,"ct","chinese",4,3,"Female","IU",3.476616667,33.571,6,8,1,8,1,1,1,2,0.25,0.35,0,0.35,0,0,0,0.05,20.757,0,1,0,6,6,"I",1,5,0.2,3.33333333333333,0.116666666666667
"2",2,20,"nc","chinese",1,3,"Male","UI",4.033383333,29.859,2,2,2,8,2,2,4,5,0,0,0,0.545454545454545,0,0,0.181818181818182,0.272727272727273,6.818,1,1,0,7,5,"I",2,2,0,4,0.181818181818182
"3",3,18,"nc","chinese",1,3,"Female","IU",3.5338,50.464,1,8,1,8,1,1,1,4,0,0.411764705882353,0,0.411764705882353,0,0,0,0.176470588235294,14.991,1,0,0,9,1,"I",1,3.33333333333333,0.137254901960784,3.33333333333333,0.137254901960784
"4",4,NA,"-1","-1",-1,-1,NA,"IU",3.05675,58.345,1,8,5,8,1,1,1,5,0,0.318181818181818,0.181818181818182,0.318181818181818,0,0,0,0.181818181818182,7.677,1,1,0,8,2,"I",1,4.66666666666667,0.166666666666667,3.33333333333333,0.106060606060606
"5",5,23,"ct","chinese",3,3,"Hide","UI",3.560433333,30.04,3,5,1,3,3,9,6,5,0.0740740740740741,0.148148148148148,0,0.0740740740740741,0.0740740740740741,0.296296296296296,0.185185185185185,0.148148148148148,5.341,1,1,0,5,5,"I",2,3,0.0740740740740741,5,0.148148148148148
"6",6,24,"ct","chinese",4,3,"Male","UI",3.626583333,25.403,3,5,1,7,1,1,1,2,0.153846153846154,0.307692307692308,0,0.461538461538462,0,0,0,0.0769230769230769,4.598,1,1,0,8,8,"I",2,3,0.153846153846154,3,0.153846153846154
"7",7,22,"ct","chinese",3,3,"Female","IU",49.49083333,54.888,5,6,5,6,5,5,5,5,0.111111111111111,0.166666666666667,0.111111111111111,0.166666666666667,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,14.692,1,1,0,8,2,"I",1,5.33333333333333,0.12962962962963,5.33333333333333,0.12962962962963
"8",8,21,"ct","chinese",2,4,"Female","IU",2.32785,23.391,5,5,1,8,2,2,1,1,0.235294117647059,0.235294117647059,0,0.411764705882353,0.0588235294117647,0.0588235294117647,0,0,6.155,1,1,0,6,6,"I",1,3.66666666666667,0.156862745098039,4,0.176470588235294
"9",9,21,"ct","chinese",1,3,"Male","UI",2.85355,17.957,7,7,1,9,1,1,1,8,0.222222222222222,0.222222222222222,0,0.296296296296296,0,0,0,0.259259259259259,6.818,1,1,0,9,7,"I",2,5,0.148148148148148,3.66666666666667,0.0987654320987654
"10",10,22,"ct","chinese",2,4,"Female","UI",3.061566667,21.603,2,2,1,7,2,2,5,7,0.05,0.05,0,0.3,0.05,0.05,0.2,0.3,10.509,1,1,0,8,5,"I",2,1.66666666666667,0.0333333333333333,3.66666666666667,0.133333333333333
